omega_pe_t,relative_error_R3,relative_error_R5,relative_error_R7,relative_error_R9
7.811041943148413935e+00,3.358826418128594849e-05,1.044722830068024960e-10,1.293532714224681668e-11,1.015307613617860303e-10
7.860793802658913698e+00,3.378727349761375071e-05,1.053830400316311403e-10,1.305328072396603949e-11,1.017233111046718003e-10
7.910545662169412573e+00,3.396432756173105099e-05,1.062187005153158618e-10,1.316173683659813504e-11,1.018605888542482768e-10
7.960297521679912336e+00,3.412034965801736207e-05,1.069819966726005930e-10,1.326147040958947764e-11,1.019464628634503439e-10
8.010049381190411211e+00,3.425643695730471551e-05,1.076755228728594485e-10,1.335227268138967816e-11,1.019839966715761514e-10
8.059801240700910085e+00,3.437384359501897198e-05,1.083029829049693036e-10,1.343516638434672887e-11,1.019768204584417767e-10
8.109553100211410737e+00,3.447396119886183722e-05,1.088687188418812836e-10,1.351018512821126036e-11,1.019287206266513670e-10
8.159304959721911388e+00,3.455829727669192071e-05,1.093777075658156976e-10,1.357825448392522992e-11,1.018436984857745807e-10
8.209056819232408486e+00,3.462845196245839280e-05,1.098349368863247920e-10,1.363953834420194305e-11,1.017253197749322528e-10
8.258808678742909137e+00,3.468609369010440064e-05,1.102462698222964652e-10,1.369512320160708040e-11,1.015778698181160094e-10
8.308560538253408012e+00,3.473293438872705557e-05,1.106176764837579610e-10,1.374578991555547279e-11,1.014055433321553001e-10
8.358312397763908663e+00,3.477070480919099133e-05,1.109551352771341593e-10,1.379221834402321560e-11,1.012124655641039483e-10
8.408064257274407538e+00,3.480113055849286442e-05,1.112647483140724133e-10,1.383499128349790323e-11,1.010022830338836506e-10
8.457816116784906413e+00,3.482590936928144803e-05,1.115527310995233453e-10,1.387516293037703758e-11,1.007786755799136875e-10
8.507567976295407064e+00,3.484669005503690655e-05,1.118249457520223354e-10,1.391308065280691937e-11,1.005458254080736884e-10
8.557319835805904162e+00,3.486505350939636224e-05,1.120871492463939819e-10,1.394974547466714727e-11,1.003067052440726597e-10
8.607071695316404814e+00,3.488249600445672067e-05,1.123448097006565270e-10,1.398566885226435428e-11,1.000650770288350039e-10
8.656823554826905465e+00,3.490041493766116333e-05,1.126034357383606627e-10,1.402171795728777480e-11,9.982397750294101107e-11
8.706575414337404339e+00,3.492009706908817093e-05,1.128676117601581654e-10,1.405859851240826155e-11,9.958653776645856308e-11
8.756327273847903214e+00,3.494270920079805534e-05,1.131410807552061665e-10,1.409627137799990667e-11,9.935494295101081149e-11
8.806079133358402089e+00,3.496929116345110704e-05,1.134281013902041900e-10,1.413547546672005180e-11,9.913172336787320079e-11
8.855830992868902740e+00,3.500075091096132435e-05,1.137322901114031160e-10,1.417718845744267268e-11,9.892005805474457123e-11
8.905582852379403391e+00,3.503786148424806380e-05,1.140561290140836284e-10,1.422108733552709025e-11,9.872134465103682742e-11
8.955334711889900490e+00,3.508125957999212957e-05,1.144021969795530990e-10,1.426777284894245275e-11,9.853740074407362269e-11
9.005086571400401141e+00,3.513144546169405465e-05,1.147717972308764665e-10,1.431735136158952391e-11,9.836962266012949117e-11
9.054838430910900016e+00,3.518878396967279899e-05,1.151666702229504607e-10,1.436997344717367933e-11,9.821950046333098364e-11
9.104590290421398890e+00,3.525350642496899309e-05,1.155865665728830941e-10,1.442578323312172151e-11,9.808780830256750287e-11
9.154342149931899542e+00,3.532571328063302871e-05,1.160322001193186860e-10,1.448452377555316686e-11,9.797546849392770458e-11
9.204094009442398416e+00,3.540537742819538396e-05,1.165030549193433739e-10,1.454625034548000194e-11,9.788285739078126970e-11
9.253845868952899067e+00,3.549234814032763358e-05,1.169988798393138163e-10,1.461134313613664359e-11,9.781054552420285651e-11
9.303597728463396166e+00,3.558635569494277977e-05,1.175178332691061077e-10,1.467896242932622173e-11,9.775797484291017609e-11
9.353349587973896817e+00,3.568701678913694032e-05,1.180586820687109005e-10,1.474916554803270813e-11,9.772499973392941103e-11
9.403101447484397468e+00,3.579384089060367712e-05,1.186190512968880737e-10,1.482157598537719691e-11,9.771044049726785808e-11
9.452853306994894567e+00,3.590623771303402205e-05,1.191966755285283312e-10,1.489601522694369778e-11,9.771339678279616899e-11
9.502605166505395218e+00,3.602352600652098416e-05,1.197887041578026500e-10,1.497224580346472530e-11,9.773241423729253236e-11
9.552357026015895869e+00,3.614494384305163264e-05,1.203927518747866684e-10,1.504998093640087870e-11,9.776637652508422711e-11
9.602108885526394744e+00,3.626966053896242255e-05,1.210056685579837660e-10,1.512864686795142151e-11,9.781288365655788630e-11
9.651860745036893618e+00,3.639679030319690328e-05,1.216243210602789735e-10,1.520803917687184331e-11,9.786994543412278474e-11
9.701612604547392493e+00,3.652540761464774391e-05,1.222448350679230461e-10,1.528713123507493426e-11,9.793429260892297277e-11
9.751364464057893144e+00,3.665456424501307005e-05,1.228648299381580250e-10,1.536631428681320243e-11,9.800462126787076659e-11
9.801116323568393796e+00,3.678330772910140024e-05,1.234807828157370813e-10,1.544507877030430807e-11,9.807770875204278978e-11
9.850868183078890894e+00,3.691070099419291989e-05,1.240892216905655992e-10,1.552259401693914341e-11,9.815054033304703849e-11
9.900620042589391545e+00,3.703584273554888674e-05,1.246877141045420293e-10,1.559896085958435040e-11,9.822083086697872633e-11
9.950371902099890420e+00,3.715788803917550347e-05,1.252732523007282462e-10,1.567357435176745830e-11,9.828579501112866808e-11
1.000012376161038929e+01,3.727606867457125859e-05,1.258438854338237794e-10,1.574624963115109887e-11,9.834295591285722701e-11
1.004987562112088995e+01,3.738971241665618267e-05,1.263972872891420062e-10,1.581646924420004131e-11,9.839020234887289319e-11
1.009962748063138882e+01,3.749826072993918413e-05,1.269321690290433968e-10,1.588458281171832539e-11,9.842581546865867687e-11
1.014937934014188947e+01,3.760128414691042253e-05,1.274473503912689588e-10,1.595009665908779369e-11,9.844832530865628288e-11
1.019913119965238657e+01,3.769849471140142581e-05,1.279426958637092812e-10,1.601338925718076283e-11,9.845680636680080232e-11
1.024888305916288722e+01,3.778975491937558787e-05,1.284171020470873098e-10,1.607378819205303522e-11,9.845025302478189554e-11
1.029863491867338787e+01,3.787508270456456361e-05,1.288713887555348710e-10,1.613166543266636268e-11,9.842847825793343923e-11
1.034838677818388675e+01,3.795465214083804486e-05,1.293063861414479478e-10,1.618677456616406429e-11,9.839205469732566941e-11
1.039813863769438562e+01,3.802878970050110674e-05,1.297235919252724499e-10,1.624006492789361489e-11,9.834215341811972948e-11
1.044789049720488450e+01,3.809796608535746890e-05,1.301243827948860033e-10,1.629081124346703824e-11,9.828004592969761880e-11
